,Log,Objects,Events,Activities,Types,Relative Variance,Start,Relations,Runtime
0,data/01_ocel_standard_container_logistics.json,13882,35372,14,7,175.57848986452936,{'Handling Unit'},"{('Drive to Terminal', 'Container'), ('Create Transport Document', 'Customer Order'), ('Transport Document', 'Container'), ('Forklift', 'Bring to Loading Bay'), ('Load Truck', 'Container'), ('Handling Unit', 'Container'), ('Customer Order', 'Register Customer Order'), ('Vehicle', 'Book Vehicles'), ('Load Truck', 'Truck'), ('Load Truck', 'Handling Unit'), ('Vehicle', 'Load to Vehicle'), ('Transport Document', 'Customer Order'), ('Depart', 'Vehicle'), ('Customer Order', 'Transport Document'), ('Transport Document', 'Book Vehicles'), ('Transport Document', 'Create Transport Document'), ('Handling Unit', 'Collect Goods'), ('Depart', 'Container'), ('Forklift', 'Load to Vehicle'), ('Vehicle', 'Reschedule Container'), ('Forklift', 'Weigh'), ('Reschedule Container', 'Vehicle'), ('Depart', 'Transport Document'), ('Reschedule Container', 'Container'), ('Bring to Loading Bay', 'Forklift'), ('Forklift', 'Place in Stock'), ('Customer Order', 'Create Transport Document'), ('Collect Goods', 'Handling Unit'), ('Load to Vehicle', 'Forklift'), ('Weigh', 'Forklift'), ('Place in Stock', 'Forklift'), ('Reschedule Container', 'Transport Document'), ('Transport Document', 'Reschedule Container'), ('Load to Vehicle', 'Vehicle'), ('Handling Unit', 'Load Truck'), ('Bring to Loading Bay', 'Container'), ('Book Vehicles', 'Vehicle'), ('Load to Vehicle', 'Container'), ('Transport Document', 'Order Empty Containers'), ('Weigh', 'Container'), ('Place in Stock', 'Container'), ('Register Customer Order', 'Customer Order'), ('Vehicle', 'Depart'), ('Book Vehicles', 'Transport Document'), ('Drive to Terminal', 'Truck'), ('Order Empty Containers', 'Container'), ('Create Transport Document', 'Transport Document'), ('Pick Up Empty Container', 'Container'), ('Order Empty Containers', 'Transport Document'), ('Vehicle', 'Transport Document'), ('Transport Document', 'Depart'), ('Transport Document', 'Vehicle')}",1811.4859490394592
1,data/02_ocel_standard_p2p.json,9054,14671,10,7,33.3203917002922,{'material'},"{('Create Purchase Order', 'purchase_order'), ('material', 'quotation'), ('material', 'Delegate Purchase Requisition Approval'), ('payment', 'goods receipt'), ('material', 'purchase_order'), ('material', 'Approve Purchase Requisition'), ('goods receipt', 'payment'), ('goods receipt', 'Execute Payment'), ('invoice receipt', 'Perform Two-Way Match'), ('goods receipt', 'invoice receipt'), ('Approve Purchase Order', 'quotation'), ('Create Goods Receipt', 'goods receipt'), ('goods receipt', 'Create Invoice Receipt'), ('invoice receipt', 'purchase_order'), ('goods receipt', 'material'), ('Approve Purchase Order', 'purchase_order'), ('Execute Payment', 'purchase_order'), ('Create Request for Quotation', 'purchase_requisition'), ('material', 'goods receipt'), ('goods receipt', 'Perform Two-Way Match'), ('payment', 'Execute Payment'), ('Create Invoice Receipt', 'goods receipt'), ('invoice receipt', 'goods receipt'), ('material', 'purchase_requisition'), ('payment', 'invoice receipt'), ('goods receipt', 'purchase_order'), ('Perform Two-Way Match', 'goods receipt'), ('Execute Payment', 'goods receipt'), ('Create Purchase Order', 'quotation'), ('invoice receipt', 'payment'), ('goods receipt', 'Create Goods Receipt'), ('payment', 'purchase_order'), ('invoice receipt', 'Execute Payment'), ('Create Request for Quotation', 'quotation'), ('Execute Payment', 'payment'), ('invoice receipt', 'Create Invoice Receipt'), ('Create Invoice Receipt', 'invoice receipt'), ('material', 'Create Purchase Requisition'), ('Create Goods Receipt', 'purchase_order'), ('Perform Two-Way Match', 'invoice receipt'), ('Execute Payment', 'invoice receipt')}",264.91126227378845
2,data/03_ocel_lrms_o2c.xml,8819,28278,22,9,43.797740056322155,{'Order'},"{('Validate Customer Order', 'Order'), ('Order', 'Generate Shipping Label'), ('Issue Credit Note', 'Return'), ('Generate Invoice', 'Invoice'), ('Receive Customer Order', 'Order'), ('Order', 'Schedule Order Fulfillment'), ('Approve Order', 'Order'), ('Reject Order', 'Order'), ('Generate Invoice', 'Order'), ('Process Return Request', 'Return'), ('Order', 'Generate Pick List'), ('Receive Payment', 'Payment'), ('Perform Credit Check', 'Customer'), ('Process Return Request', 'Order'), ('Shipment', 'Ship Order'), ('Order', 'Receive Customer Order'), ('Order', 'Apply Discount'), ('Apply Discount', 'Order'), ('Issue Payment Reminder', 'Customer'), ('Pack Items', 'Order'), ('Order', 'Reject Order'), ('Send Invoice to Customer', 'Customer'), ('Receive Customer Order', 'Customer'), ('Dispute', 'Handle Payment Discrepancy'), ('Handle Payment Discrepancy', 'Customer'), ('Approve Order', 'Customer'), ('Return', 'Approve Return'), ('Return', 'Process Return Request'), ('Schedule Order Fulfillment', 'Order'), ('Order', 'Ship Order'), ('CreditNote', 'Issue Credit Note'), ('Apply Payment', 'Payment'), ('Handle Payment Discrepancy', 'Dispute'), ('Reject Order', 'Customer'), ('Update Inventory', 'Product'), ('Order', 'Process Return Request'), ('Receive Payment', 'Invoice'), ('Order', 'Validate Customer Order'), ('Order', 'Perform Credit Check'), ('Order', 'Approve Order'), ('Ship Order', 'Shipment'), ('Ship Order', 'Order'), ('Payment', 'Apply Payment'), ('Issue Payment Reminder', 'Invoice'), ('Process Return Request', 'Customer'), ('Payment', 'Receive Payment'), ('Handle Payment Discrepancy', 'Invoice'), ('Generate Pick List', 'Product'), ('Generate Pick List', 'Order'), ('Shipment', 'Generate Shipping Label'), ('Send Invoice to Customer', 'Invoice'), ('Order', 'Generate Invoice'), ('Perform Credit Check', 'Order'), ('Pick Items', 'Product'), ('Approve Return', 'Return'), ('Apply Payment', 'Invoice'), ('Order', 'Pack Items'), ('Generate Shipping Label', 'Order'), ('Generate Shipping Label', 'Shipment'), ('Issue Credit Note', 'CreditNote'), ('Return', 'Issue Credit Note')}",2035.915233373642
3,data/04_ocel_lrms_p2p.xml,4493,8300,12,6,148.70232902026893,{'Purchase Requisition'},"{('Three-way Match - Successful', 'Invoice'), ('Purchase Requisition', 'Create PO (Batch)'), ('Approve PO', 'Purchase Order'), ('Purchase Order', 'Create PO'), ('Purchase Requisition', 'Approve PR'), ('Purchase Order', 'Create PO (Batch)'), ('Make Payment', 'Supplier'), ('Payment', 'Make Payment'), ('Receive Invoice', 'Invoice'), ('Invoice', 'Receive Invoice'), ('Purchase Order', 'Three-way Match - Successful'), ('Purchase Order', 'Send PO to Supplier'), ('Goods Receipt', 'Three-way Match - Mismatch Found'), ('Create PO', 'Purchase Order'), ('Three-way Match - Mismatch Found', 'Purchase Order'), ('Make Payment', 'Payment'), ('Purchase Order', 'Receive Goods'), ('Three-way Match - Successful', 'Purchase Order'), ('Invoice', 'Three-way Match - Mismatch Found'), ('Receive Invoice', 'Purchase Order'), ('Receive Goods', 'Purchase Order'), ('Send PO to Supplier', 'Purchase Order'), ('Purchase Order', 'Receive Invoice'), ('Three-way Match - Mismatch Found', 'Goods Receipt'), ('Goods Receipt', 'Three-way Match - Successful'), ('Purchase Requisition', 'Create PR'), ('Make Payment', 'Invoice'), ('Three-way Match - Successful', 'Goods Receipt'), ('Send PO to Supplier', 'Supplier'), ('Invoice', 'Make Payment'), ('Approve PR', 'Purchase Requisition'), ('Create PO', 'Purchase Requisition'), ('Goods Receipt', 'Receive Goods'), ('Supplier', 'Make Payment'), ('Reject PR', 'Purchase Requisition'), ('Purchase Order', 'Approve PO'), ('Receive Goods', 'Goods Receipt'), ('Invoice', 'Three-way Match - Successful'), ('Purchase Order', 'Three-way Match - Mismatch Found'), ('Create PR', 'Purchase Requisition'), ('Purchase Requisition', 'Reject PR'), ('Supplier', 'Send PO to Supplier'), ('Purchase Requisition', 'Create PO'), ('Three-way Match - Mismatch Found', 'Invoice')}",101.74920535087585
4,data/05_ocel_lrms_hr.xml,3768,18119,24,6,326.57637878361936,{'Candidate'},"{('HiringManager', 'Evaluate Interview'), ('Initiate Background Check', 'Candidate'), ('Recruiter', 'Conduct Initial Interview'), ('Evaluate Interview', 'Candidate'), ('Conduct Initial Interview', 'Recruiter'), ('Candidate Reject Offer', 'Candidate'), ('JobRequisition', 'Submit Application'), ('Candidate', 'Complete Background Check'), ('Evaluate Interview', 'HiringManager'), ('Complete Onboarding', 'Candidate'), ('Send Rejection Letter', 'Candidate'), ('Candidate', 'Conduct Initial Interview'), ('Conduct Panel Interview', 'Interviewer'), ('Start Onboarding', 'Candidate'), ('Candidate', 'Initiate Background Check'), ('Assessment', 'Complete Assessment'), ('Assessment', 'Review Assessment'), ('Attend Orientation Training', 'Candidate'), ('Conduct Panel Interview', 'Candidate'), ('Conduct Initial Interview', 'Candidate'), ('Complete Assessment', 'Candidate'), ('Post Job Opening', 'Recruiter'), ('HiringManager', 'Review Assessment'), ('JobRequisition', 'Post Job Opening'), ('Complete Background Check', 'Candidate'), ('Candidate Accept Offer', 'Candidate'), ('Create Job Requisition', 'HiringManager'), ('JobRequisition', 'Approve Job Requisition'), ('Candidate', 'Candidate Accept Offer'), ('Candidate', 'Prepare Offer Letter'), ('Complete Assessment', 'Assessment'), ('Candidate', 'Attend Orientation Training'), ('Candidate', 'Conduct Panel Interview'), ('Candidate', 'Send Offer Letter'), ('Approve Job Requisition', 'JobRequisition'), ('Candidate', 'Start Onboarding'), ('Send Assessment', 'Candidate'), ('Complete HR Paperwork', 'Candidate'), ('Candidate', 'Candidate Reject Offer'), ('Candidate', 'Send Assessment'), ('Candidate', 'Complete Onboarding'), ('Candidate', 'Send Rejection Letter'), ('Interviewer', 'Conduct Panel Interview'), ('Candidate', 'Complete HR Paperwork'), ('Review Assessment', 'Candidate'), ('Candidate', 'Evaluate Interview'), ('Create Job Requisition', 'JobRequisition'), ('JobRequisition', 'Create Job Requisition'), ('Send Assessment', 'Assessment'), ('HiringManager', 'Create Job Requisition'), ('Review Assessment', 'HiringManager'), ('Send Offer Letter', 'Candidate'), ('Recruiter', 'Schedule Initial Interview'), ('Post Job Opening', 'JobRequisition'), ('Review Assessment', 'Assessment'), ('Candidate', 'Schedule Panel Interview'), ('Candidate', 'Submit Application'), ('Schedule Panel Interview', 'Interviewer'), ('Schedule Initial Interview', 'Recruiter'), ('HiringManager', 'Prepare Offer Letter'), ('Candidate', 'Schedule Initial Interview'), ('Recruiter', 'Post Job Opening'), ('Interviewer', 'Schedule Panel Interview'), ('Schedule Panel Interview', 'Candidate'), ('Assessment', 'Send Assessment'), ('Recruiter', 'Screen Resume'), ('Prepare Offer Letter', 'Candidate'), ('Candidate', 'Complete Assessment'), ('Candidate', 'Review Assessment'), ('Prepare Offer Letter', 'HiringManager'), ('Candidate', 'Screen Resume'), ('Schedule Initial Interview', 'Candidate')}",1151.8436007499695
5,data/06_ocel_lrms_hospital.xml,3688,14642,9,8,83.97109306255551,{'Patient'},"{('Patient', 'Registration'), ('Patient', 'Perform Diagnostic Test'), ('Physician', 'Diagnostic Test Order'), ('Assign Bed', 'Bed'), ('Patient', 'Insurance Verification'), ('Patient', 'Pre-Admission Consultation'), ('Diagnostic Test Order', 'Physician'), ('Assign Bed', 'Room'), ('Patient', 'Assign Bed'), ('Appointment Scheduling', 'Patient'), ('Initial Evaluation', 'Patient'), ('Patient', 'Initial Evaluation'), ('Registration', 'Patient'), ('Diagnostic Test Order', 'Patient'), ('Initial Evaluation', 'Nurse'), ('Patient Arrival', 'Patient'), ('Registration', 'Nurse'), ('Insurance Verification', 'InsuranceCompany'), ('DiagnosticEquipment', 'Perform Diagnostic Test'), ('Physician', 'Pre-Admission Consultation'), ('Patient', 'Patient Arrival'), ('LabTechnician', 'Perform Diagnostic Test'), ('Patient', 'Appointment Scheduling'), ('Insurance Verification', 'Patient'), ('Patient', 'Diagnostic Test Order'), ('Assign Bed', 'Patient')}",181.8774881362915
6,data/07_ocel_legacy_github_pm4py.jsonocel,532,1798,20,3,82.70814439084482,{'case:concept:name'},"{('org:resource', 'labeled'), ('case:concept:name', 'added_to_project'), ('unlabeled', 'case:concept:name'), ('case:repo', 'milestoned'), ('cross-referenced', 'case:repo'), ('added_to_project', 'case:repo'), ('case:concept:name', 'unlabeled'), ('org:resource', 'referenced'), ('case:concept:name', 'head_ref_restored'), ('added_to_project', 'case:concept:name'), ('head_ref_restored', 'org:resource'), ('org:resource', 'assigned'), ('case:concept:name', 'renamed'), ('org:resource', 'added_to_project'), ('case:repo', 'head_ref_restored'), ('org:resource', 'unlabeled'), ('case:repo', 'labeled'), ('unassigned', 'org:resource'), ('cross-referenced', 'org:resource'), ('added_to_project', 'org:resource'), ('org:resource', 'unassigned'), ('case:concept:name', 'created'), ('unassigned', 'case:repo'), ('case:repo', 'referenced'), ('org:resource', 'renamed'), ('case:concept:name', 'closed'), ('unassigned', 'case:concept:name'), ('case:repo', 'assigned'), ('case:repo', 'added_to_project'), ('cross-referenced', 'case:concept:name'), ('org:resource', 'mentioned'), ('case:repo', 'unlabeled'), ('case:concept:name', 'merged'), ('org:resource', 'created'), ('case:concept:name', 'unassigned'), ('org:resource', 'closed'), ('case:repo', 'renamed'), ('org:resource', 'base_ref_changed'), ('case:repo', 'unassigned'), ('case:concept:name', 'mentioned'), ('org:resource', 'commented'), ('org:resource', 'merged'), ('labeled', 'org:resource'), ('org:resource', 'cross-referenced'), ('milestoned', 'case:repo'), ('labeled', 'case:repo'), ('case:concept:name', 'subscribed'), ('case:repo', 'mentioned'), ('case:repo', 'created'), ('case:concept:name', 'base_ref_changed'), ('labeled', 'case:concept:name'), ('case:repo', 'closed'), ('case:concept:name', 'commented'), ('case:repo', 'subscribed'), ('case:repo', 'base_ref_changed'), ('case:concept:name', 'cross-referenced'), ('case:concept:name', 'milestoned'), ('org:resource', 'subscribed'), ('case:repo', 'commented'), ('case:repo', 'merged'), ('case:repo', 'cross-referenced'), ('org:resource', 'moved_columns_in_project'), ('head_ref_deleted', 'org:resource'), ('moved_columns_in_project', 'org:resource'), ('org:resource', 'head_ref_deleted'), ('milestoned', 'org:resource'), ('head_ref_deleted', 'case:repo'), ('moved_columns_in_project', 'case:repo'), ('org:resource', 'milestoned'), ('case:concept:name', 'reopened'), ('head_ref_deleted', 'case:concept:name'), ('moved_columns_in_project', 'case:concept:name'), ('milestoned', 'case:concept:name'), ('referenced', 'org:resource'), ('case:concept:name', 'labeled'), ('head_ref_restored', 'case:repo'), ('case:concept:name', 'moved_columns_in_project'), ('case:concept:name', 'head_ref_deleted'), ('unlabeled', 'org:resource'), ('referenced', 'case:repo'), ('case:repo', 'reopened'), ('case:concept:name', 'referenced'), ('head_ref_restored', 'case:concept:name'), ('org:resource', 'head_ref_restored'), ('case:repo', 'moved_columns_in_project'), ('case:repo', 'head_ref_deleted'), ('unlabeled', 'case:repo'), ('referenced', 'case:concept:name'), ('org:resource', 'reopened'), ('case:concept:name', 'assigned')}",18.820733308792114
7,data/08_ocel_legacy_recruiting.jsonocel,1505,6980,16,6,39.25302193092502,{'applications'},"{('offers', 'job offer declined'), ('make job offer', 'offers'), ('vacancies', 'job offer declined'), ('first screening', 'applications'), ('applications', 'offer accepted and hired'), ('applications', 'consult manager'), ('vacancies', 'invite for interview'), ('consult manager', 'recruiters'), ('open vacancy', 'vacancies'), ('vacancies', 'assign vacancy'), ('applicants', 'offer accepted and hired'), ('consult manager', 'applications'), ('vacancies', 'change manager'), ('conduct interview', 'applicants'), ('change manager', 'managers'), ('offers', 'make job offer'), ('conduct interview', 'recruiters'), ('make job offer', 'applicants'), ('vacancies', 'submit application'), ('vacancies', 'make job offer'), ('conduct interview', 'vacancies'), ('make job offer', 'recruiters'), ('applications', 'job offer declined'), ('applications', 'invite for interview'), ('make job offer', 'vacancies'), ('conduct interview', 'applications'), ('close vacancy (no hire)', 'vacancies'), ('make job offer', 'applications'), ('assign recruiter', 'recruiters'), ('applicants', 'job offer declined'), ('vacancies', 'conduct interview'), ('applications', 'assign vacancy'), ('close vacancy for new applications', 'vacancies'), ('applications', 'check references'), ('applicants', 'invite for interview'), ('vacancies', 'close vacancy (no hire)'), ('assign recruiter', 'applications'), ('check references', 'recruiters'), ('applications', 'send rejection'), ('applications', 'submit application'), ('applications', 'make job offer'), ('change manager', 'vacancies'), ('open vacancy', 'managers'), ('check references', 'applications'), ('offers', 'offer accepted and hired'), ('applicants', 'send rejection'), ('consult manager', 'managers'), ('applicants', 'submit application'), ('applications', 'first screening'), ('applications', 'conduct interview'), ('vacancies', 'offer accepted and hired'), ('vacancies', 'open vacancy'), ('invite for interview', 'recruiters'), ('invite for interview', 'applicants'), ('applicants', 'make job offer'), ('applications', 'assign recruiter'), ('invite for interview', 'vacancies'), ('vacancies', 'close vacancy for new applications'), ('applicants', 'conduct interview'), ('invite for interview', 'applications'), ('conduct interview', 'managers'), ('first screening', 'recruiters'), ('make job offer', 'managers')}",74.44918394088745
8,data/09_ocel_standard_hinge.xml,23771,38528,11,12,86.3892971692909,{'FormedPart'},"{('Worker', 'CheckFemalePart'), ('CheckFemalePart', 'FemalePart'), ('HingePack', 'PackHinges'), ('SplitSteelSheet', 'SteelCoil'), ('CoatPart', 'Machine'), ('FormSteelSheet', 'Machine'), ('FormSteelSheet', 'SteelSheet'), ('Hinge', 'PackHinges'), ('AssembleHinge', 'SteelPin'), ('CheckMalePart', 'Workstation'), ('SteelCoil', 'SteelSheet'), ('SteelPin', 'AssembleHinge'), ('SteelCoil', 'SplitSteelSheet'), ('CheckFemalePart', 'Workstation'), ('FormedPart', 'CuttFemalePart'), ('Facility', 'MoveParts'), ('AssembleHinge', 'MalePart'), ('CoatPart', 'Workstation'), ('PackHinges', 'Hinge'), ('FormSteelSheet', 'Workstation'), ('CuttFemalePart', 'Machine'), ('CuttMalePart', 'Machine'), ('SplitSteelSheet', 'Machine'), ('SplitSteelSheet', 'SteelSheet'), ('Worker', 'CheckMalePart'), ('CuttFemalePart', 'FemalePart'), ('Hinge', 'HingePack'), ('FormedPart', 'MalePart'), ('CheckMalePart', 'MalePart'), ('PackHinges', 'Machine'), ('AssembleHinge', 'Hinge'), ('FormedPart', 'FormSteelSheet'), ('CuttMalePart', 'Workstation'), ('FormSteelSheet', 'FormedPart'), ('SplitSteelSheet', 'Workstation'), ('HeatSteelSheet', 'SteelSheet'), ('CuttFemalePart', 'Workstation'), ('CoatPart', 'FormedPart'), ('HeatSteelSheet', 'Machine'), ('MoveParts', 'Worker'), ('AssembleHinge', 'FemalePart'), ('PackHinges', 'HingePack'), ('Hinge', 'AssembleHinge'), ('AssembleHinge', 'Machine'), ('CheckMalePart', 'Worker'), ('PackHinges', 'Workstation'), ('Facility', 'Workstation'), ('HeatSteelSheet', 'Workstation'), ('FormedPart', 'FemalePart'), ('FormedPart', 'SteelSheet'), ('CheckFemalePart', 'Worker'), ('CuttMalePart', 'FormedPart'), ('CuttFemalePart', 'FormedPart'), ('Worker', 'MoveParts'), ('FormedPart', 'CoatPart'), ('MoveParts', 'Facility'), ('FormedPart', 'CuttMalePart'), ('CuttMalePart', 'MalePart'), ('AssembleHinge', 'Workstation'), ('HingePack', 'Hinge')}",3503.295952796936
9,data/10_ocel_legacy_transfer_order.jsonocel,2500,10319,3,5,110.13241636893022,{'MATNR'},"{('Shelf Life Expiration', 'MATNR'), ('Shelf Life Expiration', 'NLQNR'), ('Transfer Confirmation', 'WERKS'), ('MATNR', 'Transfer Confirmation'), ('Goods Receipt', 'MATNR'), ('Goods Receipt', 'NLQNR'), ('Shelf Life Expiration', 'QNAME'), ('MATNR', 'Goods Receipt'), ('Shelf Life Expiration', 'NLPLA'), ('MATNR', 'Shelf Life Expiration'), ('Goods Receipt', 'NLPLA'), ('Transfer Confirmation', 'MATNR'), ('Transfer Confirmation', 'NLQNR'), ('Goods Receipt', 'QNAME'), ('Goods Receipt', 'WERKS'), ('Transfer Confirmation', 'QNAME'), ('Transfer Confirmation', 'NLPLA'), ('Shelf Life Expiration', 'WERKS')}",19.284595489501953
